                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.64737,                0.78674,                0.51386,                0.94732,                0.84866,                 0.6733,                 0.7438,                0.57172,                0.78083,                0.58491,                0.60655,                0.31724,                0.78592,                0.81396,                0.63823,                 1.0895,              0.0008318,              0.0008318,              0.0008318
                     61,                0.63726,                0.76432,                0.50642,                0.94834,                0.83335,                0.67925,                0.73704,                0.56949,                0.76579,                0.57976,                0.61107,                0.31254,                0.78325,                0.78494,                0.64622,                 1.1001,               0.000812,               0.000812,               0.000812
                     62,                0.62794,                0.77627,                0.49986,                 0.9393,                0.82249,                0.66381,                0.73267,                0.56969,                0.81321,                0.55261,                 0.6339,                0.31644,                0.75852,                0.77558,                0.67471,                 1.0634,              0.0007922,              0.0007922,              0.0007922
                     63,                0.63298,                0.75028,                0.49961,                0.94325,                0.82842,                0.64597,                0.73044,                0.56853,                0.75858,                0.60377,                0.63654,                0.32643,                 0.7861,                0.79268,                  0.659,                 1.0961,              0.0007724,              0.0007724,              0.0007724
                     64,                0.61482,                0.73867,                0.48713,                0.93897,                0.84723,                0.66588,                0.74082,                0.57659,                0.77418,                0.60034,                0.63007,                0.32593,                 0.7652,                0.81021,                0.65019,                 1.0708,              0.0007526,              0.0007526,              0.0007526
                     65,                0.62384,                0.75402,                0.48957,                 0.9362,                0.85945,                0.65695,                0.74461,                 0.5799,                0.79876,                0.58662,                0.64134,                0.33185,                0.75996,                0.74495,                0.62408,                 1.0725,              0.0007328,              0.0007328,              0.0007328
                     66,                0.62648,                0.74569,                0.48173,                0.93354,                0.84422,                0.67855,                0.74799,                0.59089,                0.76335,                0.60861,                0.63796,                0.33415,                0.73689,                0.77458,                0.61748,                 1.0568,               0.000713,               0.000713,               0.000713
                     67,                0.60063,                0.73113,                0.47474,                0.92549,                0.81596,                0.69297,                0.74827,                  0.579,                 0.7666,                0.61408,                 0.6405,                0.33171,                0.73488,                0.75637,                0.60479,                 1.0506,              0.0006932,              0.0006932,              0.0006932
                     68,                0.60083,                0.73915,                0.47303,                0.93221,                 0.8066,                 0.6964,                 0.7441,                0.58054,                 0.7713,                0.58148,                0.62336,                0.33306,                0.73739,                0.75788,                0.63028,                 1.0485,              0.0006734,              0.0006734,              0.0006734
                     69,                0.59644,                 0.7124,                0.47073,                0.92841,                0.83661,                0.68954,                0.74369,                0.57806,                 0.7769,                 0.5952,                0.64142,                0.32772,                0.74404,                0.77362,                0.62235,                 1.0574,              0.0006536,              0.0006536,              0.0006536
                     70,                0.59276,                0.71209,                0.46376,                0.92712,                0.81427,                0.68434,                0.74048,                0.58105,                0.79012,                0.58319,                0.62522,                0.32257,                 0.7407,                  0.752,                0.60135,                 1.0577,              0.0006338,              0.0006338,              0.0006338
                     71,                0.59482,                0.72396,                0.46322,                0.92919,                0.83564,                0.68895,                0.75151,                0.58451,                0.73994,                0.61005,                0.63752,                  0.331,                 0.7517,                0.78544,                0.61545,                 1.0684,               0.000614,               0.000614,               0.000614
                     72,                0.58643,                0.72044,                0.45638,                0.92151,                0.85127,                0.68268,                0.75049,                0.58761,                0.78547,                0.60289,                0.64471,                0.32554,                0.74678,                 0.7762,                0.61049,                 1.0511,              0.0005942,              0.0005942,              0.0005942
                     73,                0.58935,                0.72383,                0.46029,                0.92898,                0.85101,                0.67601,                0.75386,                0.58698,                0.81814,                0.61732,                0.66802,                0.33844,                0.76205,                 0.7842,                0.62111,                 1.0643,              0.0005744,              0.0005744,              0.0005744
                     74,                0.57866,                0.71033,                0.45221,                0.92228,                0.81574,                0.70154,                 0.7415,                0.58245,                0.75004,                0.58673,                 0.6312,                0.31719,                0.74372,                0.79428,                0.63741,                 1.0544,              0.0005546,              0.0005546,              0.0005546
                     75,                0.57379,                0.70703,                0.44333,                0.92052,                 0.8236,                0.66381,                0.74167,                0.57962,                0.77495,                0.59348,                0.63522,                0.33491,                0.75224,                0.80173,                0.63569,                 1.0759,              0.0005348,              0.0005348,              0.0005348
                     76,                0.56983,                0.70193,                0.44467,                0.91354,                0.81331,                0.68096,                0.74109,                0.58106,                  0.795,                0.57633,                0.62976,                0.32679,                 0.7449,                0.83138,                0.62826,                 1.0703,               0.000515,               0.000515,               0.000515
                     77,                0.56686,                0.70822,                0.44055,                0.91579,                0.85721,                0.68782,                 0.7543,                0.59626,                0.79629,                0.60892,                0.63914,                0.33326,                0.72471,                0.76273,                0.62673,                 1.0546,              0.0004952,              0.0004952,              0.0004952
                     78,                0.56737,                0.69008,                0.44697,                0.91446,                0.83783,                0.70009,                0.74419,                0.58914,                0.76099,                0.62257,                0.63252,                0.33526,                0.72989,                0.80856,                 0.6204,                 1.0553,              0.0004754,              0.0004754,              0.0004754
                     79,                0.55577,                 0.6691,                0.43262,                0.91376,                0.85472,                0.68439,                0.75482,                0.59051,                0.77513,                0.60898,                0.63237,                0.33268,                0.72954,                0.77413,                0.60629,                 1.0648,              0.0004556,              0.0004556,              0.0004556
                     80,                0.55789,                0.68594,                0.43793,                0.91145,                 0.8496,                0.68796,                0.75232,                0.59315,                0.78823,                0.61407,                0.63997,                0.32965,                0.71789,                0.76328,                0.60777,                 1.0515,              0.0004358,              0.0004358,              0.0004358
                     81,                0.56043,                0.68411,                0.43568,                0.91343,                0.86524,                0.68279,                0.74929,                0.58256,                0.78666,                0.59691,                0.62422,                0.33513,                0.75603,                 0.7724,                0.61321,                 1.0743,               0.000416,               0.000416,               0.000416
                     82,                0.55827,                 0.6861,                0.42527,                0.91219,                0.83504,                0.70326,                0.75165,                0.59596,                0.78657,                0.61407,                0.65865,                0.34739,                0.72161,                0.74101,                0.61111,                 1.0557,              0.0003962,              0.0003962,              0.0003962
                     83,                0.55676,                0.66719,                0.42324,                0.91259,                0.83169,                0.70326,                0.75658,                0.59296,                0.76492,                0.60278,                0.63218,                0.32978,                0.72545,                0.76001,                0.60775,                 1.0697,              0.0003764,              0.0003764,              0.0003764
                     84,                  0.556,                0.68382,                0.42289,                0.90576,                0.83666,                0.69407,                0.75199,                0.59169,                0.81543,                0.59691,                0.64376,                0.34176,                 0.7192,                0.75389,                0.60855,                  1.058,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.5335,                0.66614,                0.40896,                0.90388,                0.83444,                0.70024,                0.75193,                0.59913,                0.76783,                0.60549,                0.64114,                0.34258,                0.71255,                0.77535,                0.60708,                 1.0483,              0.0003368,              0.0003368,              0.0003368
                     86,                0.55305,                 0.6954,                0.42214,                0.90276,                0.82754,                0.69468,                0.75233,                0.59382,                0.77371,                0.61407,                0.64057,                0.34038,                 0.7241,                0.77516,                  0.618,                 1.0652,               0.000317,               0.000317,               0.000317
                     87,                0.55308,                 0.6765,                0.41947,                0.90591,                0.86223,                0.69125,                0.75601,                0.59552,                0.79374,                0.61578,                  0.649,                0.34155,                0.70605,                0.75359,                 0.6107,                 1.0449,              0.0002972,              0.0002972,              0.0002972
                     88,                0.52935,                0.65901,                0.40817,                0.90255,                 0.8374,                0.70326,                 0.7507,                0.59349,                  0.762,                0.60034,                0.63074,                0.33583,                 0.7183,                0.76583,                0.62199,                 1.0631,              0.0002774,              0.0002774,              0.0002774
                     89,                0.53975,                0.65725,                 0.4098,                0.90177,                0.84564,                0.71417,                0.76023,                0.59587,                0.78702,                 0.6085,                0.65564,                0.35256,                0.72159,                0.75836,                 0.6147,                 1.0635,              0.0002576,              0.0002576,              0.0002576
                     90,                0.52697,                0.66588,                0.40059,                0.90166,                0.84511,                0.70191,                  0.758,                0.59598,                0.79243,                0.60898,                0.65956,                0.34856,                0.72306,                 0.7442,                0.63416,                 1.0676,              0.0002378,              0.0002378,              0.0002378
                     91,                0.55674,                0.68135,                0.42222,                0.91788,                0.82353,                0.69125,                0.74365,                0.58477,                 0.7561,                0.63465,                0.65989,                0.35366,                0.74354,                0.79785,                0.61396,                 1.0884,               0.000218,               0.000218,               0.000218
                     92,                0.52571,                0.64172,                0.38974,                0.90466,                0.82742,                0.69811,                0.75432,                0.59933,                0.78324,                0.61235,                0.65751,                0.35936,                0.73326,                0.77968,                0.60144,                 1.0779,              0.0001982,              0.0001982,              0.0001982
                     93,                0.51852,                 0.6141,                0.38563,                0.89616,                0.83439,                0.68273,                0.74975,                0.59934,                   0.79,                0.61407,                0.66094,                  0.361,                0.72619,                0.76148,                0.60495,                 1.0685,              0.0001784,              0.0001784,              0.0001784
                     94,                0.51271,                0.59054,                0.37685,                0.89107,                0.82351,                0.69297,                0.75021,                0.59803,                0.81062,                0.60203,                0.66245,                0.36251,                0.73046,                0.78908,                0.61003,                 1.0716,              0.0001586,              0.0001586,              0.0001586
                     95,                0.51159,                0.60673,                0.37527,                0.89249,                0.81866,                0.69468,                0.74907,                0.59821,                0.80765,                0.60377,                0.65879,                0.35809,                0.71015,                0.77175,                0.60128,                 1.0569,              0.0001388,              0.0001388,              0.0001388
                     96,                0.50166,                0.60013,                0.37326,                0.89113,                0.86806,                0.67713,                0.75245,                0.59665,                0.81529,                 0.6072,                0.65031,                 0.3611,                0.71835,                0.79872,                0.61384,                 1.0597,               0.000119,               0.000119,               0.000119
                     97,                0.49919,                0.59515,                0.37026,                0.89506,                 0.8494,                 0.6741,                0.74804,                0.59602,                0.78385,                0.60338,                0.65216,                0.36074,                0.71264,                0.81752,                0.61358,                 1.0573,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.49362,                0.58068,                0.36571,                0.88691,                0.83779,                0.68611,                0.75225,                0.59909,                0.79522,                0.60892,                0.66203,                 0.3598,                0.70681,                 0.7758,                0.61586,                 1.0562,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.49101,                0.59312,                0.36507,                0.88187,                0.85206,                0.68096,                0.75071,                0.59664,                0.79436,                 0.5952,                0.64782,                0.36102,                0.70625,                0.78458,                0.61505,                 1.0547,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.48674,                0.59335,                0.36175,                0.88288,                 0.8312,                 0.6964,                0.74894,                 0.5995,                 0.8136,                0.60034,                0.65586,                0.36611,                0.70247,                0.78032,                0.61227,                 1.0525,               3.98e-05,               3.98e-05,               3.98e-05
